0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:25 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:14:40 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:14:41 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:14:42 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:14:42 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:14:43 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:14:43 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:14:43 +0530] "GET /GroceryOrdering/images/logo.jpg HTTP/1.1" 200 2759399
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:14:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:14:44 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:14:44 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:14:44 +0530] "GET /GroceryOrdering/images/logo.jpg HTTP/1.1" 200 2759399
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:14:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:15:30 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:15:30 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:15:31 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:15:31 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:15:52 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:15:52 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:15:53 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:15:53 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:16:08 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:16:08 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:16:17 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:16:17 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:16:53 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:16:53 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:18:11 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:18:11 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:18:24 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:18:24 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:18:32 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:18:32 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:18:52 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:18:52 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:26 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:26 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:28 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:29 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:29 +0530] "GET /GroceryOrdering/images/logo.jpg HTTP/1.1" 200 2759399
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:30 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:30 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:30 +0530] "GET /GroceryOrdering/images/logo.jpg HTTP/1.1" 200 2759399
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:47 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:47 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:19:48 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:21:33 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:21:34 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:22:18 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:22:18 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:23:21 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:23:21 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:23:35 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:23:35 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:24:44 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:24:44 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1370
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:27:14 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:27:14 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:27:16 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:27:16 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:27:24 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:27:25 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:27:34 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:27:34 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:27:44 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:27:44 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:27:53 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:27:53 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1388
